featureid	Intercept	Group[T.P]
Streptococcaceae	1.50105400383472	-0.207078981213272
Fusobacteriaceae	0.603969410061836	-0.0343171982094646
Neisseriaceae	-0.368730112910271	-0.158010541461408
Pasteurellaceae	0.171484544873238	-0.399230021052063
Veillonellaceae	-0.156566068530083	0.361362111754715
Prevotellaceae	-0.0377910584211349	0.0768412174656987
Porphyromonadaceae	-0.714146658778191	0.509223652072251
Leptotrichiaceae	-0.999274060130119	-0.148790239356458
