featureid	Intercept	Group[T.SDP]
Streptococcaceae	1.28605390712619	-0.543634562753141
Fusobacteriaceae	0.880947809666395	-0.166201143525541
Neisseriaceae	-0.616799462586641	1.27586945984513
Pasteurellaceae	-0.168420542031527	-1.13169541861862
Veillonellaceae	0.298343490809202	-0.659861556254327
Prevotellaceae	-0.00646327808499336	-0.437503292225301
Porphyromonadaceae	-0.331555355340242	0.238702029921114
Leptotrichiaceae	-1.34210656955838	1.42432448361069
